"item","date","price","trend_value","flag","sentiment","stars"
"B015E8VN8U","2015-10-22","619","65.8125","0.0","",""
"B015E8VN8U","2015-10-23","619","66.125","0.0","",""
"B015E8VN8U","2015-11-03","595","74.75","0.0","0.76661875","5"
"B015E8VN8U","2015-11-04","595","75","0.0","0.769759375","5"
"B015E8VN8U","2015-11-05","590","75.125","0.0","0.7713296875","5"
"B015E8VN8U","2015-11-06","589","75.25","0.0","0.77211484375","5"
"B015E8VN8U","2015-11-07","590","75.5","0.0","0.772507421875","5"
"B015E8VN8U","2015-11-08","590","76","0.0","0.7727037109375","5"
"B015E8VN8U","2015-11-09","585","76.5","0.0","0.77280185546875","5"
"B015E8VN8U","2015-11-10","585","76.75","0.0","0.772850927734375","5"
"B015E8VN8U","2015-11-11","580","77","0.0","0.772875463867188","5"
"B015E8VN8U","2015-11-12","585","77.125","0.0","0.772887731933594","5"
"B015E8VN8U","2015-11-13","600","77.25","0.0","0.772893865966797","5"
"B015E8VN8U","2015-11-14","619","77.5","0.0","0.772896932983399","5"
"B015E8VN8U","2015-11-15","610","78","0.0","0.772898466491699","5"
"B015E8VN8U","2015-11-16","610","82","0.0","0.77289923324585","5"
"B015E8VN8U","2015-11-17","619","84","0.0","0.772899616622925","5"
"B015E8VN8U","2015-11-18","619","86","0.0","0.772899808311462","5"
"B015E8VN8U","2015-11-19","619","87","0.0","0.772899904155731","5"
"B015E8VN8U","2015-11-20","585","88","0.0","0.772899952077866","5"
"B015E8VN8U","2015-11-21","579.99","90","0.0","0.772899976038933","5"
"B015E8VN8U","2015-12-03","610","94.9375","1000.0","0.974875","5"
"B015E8VN8U","2015-12-04","610","94.375","1000.0","0.9751375","5"
"B015E8VN8U","2015-12-05","619","93.25","1000.0","0.97526875","5"
"B015E8VN8U","2015-12-06","564.99","91","1000.0","0.975334375","5"
"B015E8VN8U","2015-12-07","564.99","91.75","1000.0","0.9753671875","5"
"B015E8VN8U","2015-12-08","564.99","92.125","1000.0","0.97538359375","5"
"B015E8VN8U","2015-12-09","575","92.5","1000.0","0.975391796875","5"
"B015E8VN8U","2015-12-10","610","92.6875","1000.0","0.9753958984375","5"
"B015E8VN8U","2015-12-14","619","90.5","1000.0","0.975399743652344","5"
"B015E8VN8U","2015-12-15","619","88.75","1000.0","0.975399871826172","5"
"B015E8VN8U","2015-12-16","619","87","1000.0","0.975399935913086","5"
"B015E8VN8U","2015-12-17","619","86.125","1000.0","0.975399967956543","5"
"B015E8VN8U","2015-12-18","595","85.25","1000.0","0.975399983978272","5"
"B015E8VN8U","2015-12-19","619","83.5","1000.0","0.975399991989136","5"
"B015E8VN8U","2015-12-20","619","80","1000.0","0.975399995994568","5"
"B015E8VN8U","2015-12-21","619","76","1000.0","0.975399997997284","5"
"B015E8VN8U","2015-12-25","619","70","1000.0","0.97539999987483","5"
"B015E8VN8U","2015-12-28","619","62.5","1000.0","0.975399999984354","5"
"B015E8VN8U","2015-12-31","564.99","60.625","1000.0","0.975399999998044","5"
"B015E8VN8U","2016-01-03","564.99","58","1000.0","0.975399999999756","5"
"B015E8VN8U","2016-01-06","619","54.5","1000.0","0.9417125","5"
"B015E8VN8U","2016-01-07","619","54.0625","1000.0","0.93930625","5"
